system:index,Area_km2,BareLand,Builtup,Cropland,District,Grassland,Grid_ID,Mangroves,MossLichen,Shrubland,SnowIce,TreeCover,Water,Wetland,.geo
"00010000000000001803_1866,605",20.071755470507338,0.05729799679977602,3.3197548243811514,89.30496559322185,Deoria,1.5217501552021073,GRID_000022,0,0,0,0,5.617949233607584,0.17828219678753446,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9330000.0,3025000.0],[9335000.0,3025000.0],[9335000.0,3030000.0],[9330000.0,3030000.0],[9330000.0,3025000.0]]]}"
"00010000000000001803_1867,605",20.07175547050791,0.08784876756407016,5.119139262199783,85.87279547421893,Deoria,0.6898091232610812,GRID_000023,0,0,0,0,8.215691589357077,0.014715783399057438,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9335000.0,3025000.0],[9340000.0,3025000.0],[9340000.0,3030000.0],[9335000.0,3030000.0],[9335000.0,3025000.0]]]}"
"00010000000000001803_1868,605",20.071755470506748,0.15206309512359278,5.590598686684078,82.80804078099455,Deoria,0.9993634527442322,GRID_000024,0,0,0.0017837313210978627,0,10.333991448582186,0.11415880455026321,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9340000.0,3025000.0],[9345000.0,3025000.0],[9345000.0,3030000.0],[9340000.0,3030000.0],[9340000.0,3025000.0]]]}"
"00010000000000001803_1869,605",20.071755470512073,0.1294656675439591,6.270562312555198,80.36909248297147,Deoria,2.146220500668891,GRID_000025,0,0,0,0,10.632602061783562,0.45161104164662846,4.4593283027446643E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9345000.0,3025000.0],[9350000.0,3025000.0],[9350000.0,3030000.0],[9345000.0,3030000.0],[9345000.0,3025000.0]]]}"
"00010000000000001803_1870,605",20.071755470511906,0.18424370666363565,4.503178364388341,76.7641504979583,Deoria,3.533003401330804,GRID_000026,0,0,4.459328302744677E-4,0,11.876404907009904,2.694212491365518,0.4443606984532255,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9350000.0,3025000.0],[9355000.0,3025000.0],[9355000.0,3030000.0],[9350000.0,3030000.0],[9350000.0,3025000.0]]]}"
"00010000000000001803_1871,605",20.07175547050103,0.020958843022899912,4.504302814623098,86.07232331004575,Deoria,1.0492747033672274,GRID_000027,0,0,7.449701399879319E-4,0,8.341692970874467,0.009810522266038258,8.918656605489325E-4,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9355000.0,3025000.0],[9360000.0,3025000.0],[9360000.0,3030000.0],[9355000.0,3030000.0],[9355000.0,3025000.0]]]}"
"00010000000000001803_1872,605",20.07175547051305,0.03745835774305527,5.143670814133459,84.81911740274727,Deoria,1.035978910000262,GRID_000028,0,0,0.004160290993031208,0,8.851845374977055,0.04407390243689177,0.06369494696896835,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9360000.0,3025000.0],[9365000.0,3025000.0],[9365000.0,3030000.0],[9360000.0,3030000.0],[9360000.0,3025000.0]]]}"
"00010000000000001803_1873,605",20.07175547050175,0.11371112296379177,12.551529724483448,62.38877648272668,Deoria,0.8775853174429672,GRID_000029,0,0,0,0,24.033695034406776,0.0234805494591971,0.011221768517142159,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9365000.0,3025000.0],[9370000.0,3025000.0],[9370000.0,3030000.0],[9365000.0,3030000.0],[9365000.0,3025000.0]]]}"
"00010000000000001803_1861,606",20.057841946173227,0.49855074998906534,0.4588621157125972,86.66474832728389,Deoria,1.926885030830447,GRID_000030,0,0,4.460576376437644E-4,0,1.2125858223641006,9.237921896182257,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9305000.0,3030000.0],[9310000.0,3030000.0],[9310000.0,3035000.0],[9305000.0,3035000.0],[9305000.0,3030000.0]]]}"
"00010000000000001803_1862,606",20.057841946167667,6.825869593737707,0.007521756242620376,51.94681943411907,Deoria,7.7783635807058324,GRID_000031,0,0,0,0,0.5972536843486251,32.84417195084615,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9310000.0,3030000.0],[9315000.0,3030000.0],[9315000.0,3035000.0],[9310000.0,3035000.0],[9310000.0,3030000.0]]]}"
"00010000000000001803_1863,606",20.057841946166736,1.3832597192460705,5.531065727904829,56.50003411028992,Deoria,4.742647483272818,GRID_000032,0,0,0,0,5.462726199326526,26.364654742642298,0.01561201731753176,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9315000.0,3030000.0],[9320000.0,3030000.0],[9320000.0,3035000.0],[9315000.0,3035000.0],[9315000.0,3030000.0]]]}"
"00010000000000001803_1864,606",20.057841946166107,4.805809244763215,3.723610442996467,55.64458477281654,Deoria,15.536255739712301,GRID_000033,0,0,0.0017842305505750718,0,9.195252547338976,11.092703021821913,0,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:3857""}},""type"":""Polygon"",""coordinates"":[[[9320000.0,3030000.0],[9325000.0,3030000.0],[9325000.0,3035000.0],[9320000.0,3035000.0],[9320000.0,3030000.0]]]}"
